date,AAPL.US,GSPC.INDX,GC.COMM,BTC-USD.CC
2018-01-02,40.9505,2695.8101,1313.7,14982.1
2018-01-03,40.9434,2713.0601,1316.2,15201.0
2018-01-04,41.1335,2723.99,1319.4,15599.2
2018-01-05,41.6019,2743.1499,1320.3,17429.5
2018-01-08,41.4473,2747.71,1318.6,15170.1
2018-01-09,41.4426,2751.29,1311.7,14595.4
2018-01-10,41.4331,2748.23,1317.4,14973.3
2018-01-11,41.6684,2767.5601,1320.6,13405.8
2018-01-12,42.0987,2786.24,1333.4,13980.6
2018-01-16,41.8848,2776.4199,1335.4,11490.5
2018-01-17,42.5765,2802.5601,1338.0,11188.6
2018-01-18,42.6146,2798.03,1326.0,11474.9
2018-01-19,42.4244,2810.3,1331.9,11607.4
2018-01-22,42.0773,2832.97,1330.9,10931.4
2018-01-23,42.0868,2839.1299,1335.7,10868.4
2018-01-24,41.4164,2837.54,1355.9,11359.4
2018-01-25,40.6771,2839.25,1362.4,11259.4
2018-01-26,40.7722,2872.8701,1351.6,11171.4
2018-01-29,39.9283,2853.53,1340.3,11296.4
2018-01-30,39.6929,2822.4299,1335.4,10106.3
2018-01-31,39.8023,2823.8101,1339.0,10221.1
2018-02-01,39.8855,2821.98,1344.3,9170.54
2018-02-02,38.1549,2762.1299,1333.7,8830.75
2018-02-05,37.2016,2648.9399,1333.0,6955.27
2018-02-06,38.7563,2695.1399,1326.1,7754.0
2018-02-07,37.9266,2681.6599,1311.6,7621.3
2018-02-08,36.883,2581.0,1316.9,8265.59
2018-02-09,37.3342,2619.55,1313.1,8736.98
2018-02-12,38.8379,2656.0,1324.2,8926.57
2018-02-13,39.227,2662.9399,1328.1,8598.31
2018-02-14,39.9502,2698.6299,1355.5,9494.63
2018-02-15,41.2917,2731.2,1352.1,10166.4
2018-02-16,41.158,2732.22,1353.2,10233.9
2018-02-20,41.0196,2716.26,1328.8,11403.7
2018-02-21,40.8334,2701.3301,1330.0,10690.4
2018-02-22,41.1747,2703.96,1330.6,10005.0
2018-02-23,41.8908,2747.3,1328.2,10301.1
2018-02-26,42.7191,2779.6001,1330.7,10366.7
2018-02-27,42.5807,2744.28,1315.5,10725.6
2018-02-28,42.5162,2713.8301,1315.5,10397.9
2018-03-01,41.7715,2677.6699,1302.9,10951.0
2018-03-02,42.0603,2691.25,1321.1,11086.4
2018-03-05,42.2059,2720.9399,1318.1,11573.3
2018-03-06,42.1701,2728.1201,1333.6,10779.9
2018-03-07,41.7786,2726.8,1326.0,9965.57
2018-03-08,42.2345,2738.97,1319.9,9395.01
2018-03-09,42.9602,2786.5701,1322.4,9337.55
2018-03-12,43.3755,2783.02,1319.4,9205.12
2018-03-13,42.9578,2765.3101,1325.9,9194.85
2018-03-14,42.5926,2749.48,1324.4,8269.81
2018-03-15,42.6427,2747.3301,1316.8,8300.86
2018-03-16,42.4923,2752.01,1311.3,8338.35
2018-03-19,41.8431,2712.9199,1316.8,8630.65
2018-03-20,41.8288,2716.9399,1311.1,8913.47
2018-03-21,40.8811,2711.9299,1320.7,8929.28
2018-03-22,40.3035,2643.6899,1326.6,8728.47
2018-03-23,39.3702,2588.26,1349.3,8879.62
2018-03-26,41.2392,2658.55,1354.4,8209.4
2018-03-27,40.1818,2612.6201,1341.3,7833.04
2018-03-28,39.7378,2605.0,1324.2,7954.48
2018-03-29,40.0481,2640.8701,1322.8,7165.7
2018-04-02,39.7855,2581.8799,1342.1,7083.8
2018-04-03,40.1937,2614.45,1332.8,7456.11
2018-04-04,40.9623,2644.6899,1335.8,6853.84
2018-04-05,41.2464,2662.8401,1324.3,6811.47
2018-04-06,40.1913,2604.47,1331.9,6636.32
2018-04-09,40.5899,2613.1599,1336.3,6770.73
2018-04-10,41.3538,2656.8701,1342.0,6834.76
2018-04-11,41.1604,2642.1899,1356.5,6968.32
2018-04-12,41.5662,2663.99,1338.4,7889.25
2018-04-13,41.707,2656.3,1344.8,7895.96
2018-04-16,41.9672,2677.8401,1347.5,8058.67
2018-04-17,42.5448,2706.3899,1347.2,7902.09
2018-04-18,42.4494,2708.6399,1351.2,8163.42
2018-04-19,41.2464,2693.1299,1346.8,8294.31
2018-04-20,39.5564,2670.1399,1336.7,8845.83
2018-04-23,39.4418,2670.29,1322.5,8930.88
2018-04-24,38.8928,2634.5601,1331.4,9697.5
2018-04-25,39.0623,2639.3999,1321.2,8845.74
2018-04-26,39.1984,2666.9399,1316.3,9281.51
2018-04-27,38.7448,2669.9099,1320.3,8987.05
2018-04-30,39.4466,2648.05,1316.2,9240.55
2018-05-01,40.3632,2654.8,1303.8,9119.01
2018-05-02,42.1462,2635.6699,1302.6,9235.92
2018-05-03,42.2226,2629.73,1310.7,9743.86
2018-05-04,43.8791,2663.4199,1312.7,9700.76
2018-05-07,44.1966,2672.6299,1312.2,9373.01
2018-05-08,44.409,2671.9199,1312.0,9234.82
2018-05-09,44.7217,2697.79,1311.3,9325.18
2018-05-10,45.3614,2723.0701,1320.8,9043.94
2018-05-11,45.1889,2727.72,1319.0,8441.49
